dimension0,dimension1,dimension2,dimension3,dimension4,dimension5,dimension6,dimension7,dimension8,dimension9,dimension10,dimension11
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,3
7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5,3
6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5,3
9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5,0
8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6,3
7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6,3
7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5,1
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5,1
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4,0
9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,5,0
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5,3
7.65944,0.5916,0.257403,2.75265,0.0997718,24.4139,110.383,0.996674,3.2787,0.789071,9.87533,5.13013,1
6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6,3
6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5,0
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4,1
6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5,3
7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,5,0
7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5,0
7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5,0
6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6,0
6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5,3
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,2
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,3
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5,2
7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5,3
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5,4
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,2
8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5,2
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,3
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4,1
4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6,1
6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5,3
7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5,3
7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5,3
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,3
8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6,0
7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,6,3
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,3
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,0
7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,5,3
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,0
7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5,0
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5,0
8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6,0
8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5,4
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,0
8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5,1
8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5,1
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6,0
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,0
9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6,0
8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6,3
7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6,3
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,0
7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6,1
7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5,1
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,0
7.47445,0.608409,0.139433,2.15792,0.0851406,8.96213,25.1408,0.99659,3.37294,0.62366,9.7949,5.44048,3
8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5,3
7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5,1
9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5,1
8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5,3
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5,3
8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7,3
6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,5,3
8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,5,2
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,1
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,1
6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,6,3
7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6,3
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,0
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5,0
7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5,0
7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,5,1
7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,5,1
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,0
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5,0
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,0
6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5,3
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,0
8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5,4
5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,5,1
7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5,1
6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,6,3
8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6,0
